Dist Code,District Name,Org Level,CESA,Cty Code,County Name,School Year,Days of Instruction,Actual Days of Attendance,Possible Days of Attendance,ADA,ADM
4578,Prescott,D,11,47,Pierce,2018-2019,170,204204.5,214415,1201.2,1261.26
4606,Princeton,D,5,24,Green Lake,2018-2019,174,55531,58746,319.14,337.62
4613,Pulaski Community,D,7,5,Brown,2018-2019,169,498724.5,523539,2951.03,3097.86
4620,Racine Unified,D,1,51,Racine,2018-2019,175,2769620.5,3145584.5,15826.4,17974.77
4627,Randall J1,D,2,30,Kenosha,2018-2019,173,123466.5,130553,713.68,754.64
4634,Randolph,D,5,14,Dodge,2018-2019,170,88570.5,93662,521,550.95
4641,Random Lake,D,7,59,Sheboygan,2018-2019,168,116386,120766.5,692.77,718.85
4686,Raymond #14,D,2,51,Racine,2018-2019,176,73473,74085,417.46,420.94
4690,North Cape,D,2,51,Racine,2018-2019,176,33256,34680,188.95,197.05
4753,Reedsburg,D,5,56,Sauk,2018-2019,169,451331.5,484237,2670.6,2865.31
4760,Reedsville,D,7,36,Manitowoc,2018-2019,184,98463.5,101933,535.13,553.98
4781,Rhinelander,D,9,43,Oneida,2018-2019,177,371460.5,388625,2098.65,2195.62
4795,Rib Lake,D,9,60,Taylor,2018-2019,172,74900.5,77992,435.47,453.44
4802,Rice Lake Area,D,11,3,Barron,2018-2019,180,355820.5,377035.5,1976.78,2094.64
4851,Richland,D,3,52,Richland,2018-2019,164,212407.5,223977,1295.17,1365.71
4865,Rio Community,D,5,11,Columbia,2018-2019,170,62320.5,66100,366.59,388.82
4872,Ripon Area,D,6,20,Fond du Lac,2018-2019,174,254326,266650,1461.64,1532.47
4893,River Falls,D,11,47,Pierce,2018-2019,171,550782.5,575958,3220.95,3368.18
4904,River Ridge,D,3,22,Grant,2018-2019,169,87108,91428,515.43,540.99
4956,Rosendale-Brandon,D,6,20,Fond du Lac,2018-2019,179,172784,180511,965.27,1008.44
4963,Rosholt,D,5,49,Portage,2018-2019,169,79846.5,83588,472.46,494.6
4970,D C Everest Area,D,9,37,Marathon,2018-2019,169,931546,978773.5,5512.11,5791.56
5019,Saint Croix Falls,D,11,48,Polk,2018-2019,168,167395.5,176177,996.4,1048.67
5026,Saint Francis,D,1,40,Milwaukee,2018-2019,177,183786,197269,1038.34,1114.51
5054,Central/Westosha UHS,D,2,30,Kenosha,2018-2019,174,179596,190454,1032.16,1094.56
5068,Salem,D,2,30,Kenosha,2018-2019,172,148465,155400,863.17,903.49
5100,Sauk Prairie,D,5,56,Sauk,2018-2019,170,454298.5,478995,2672.34,2817.62
5124,Seneca Area,D,3,12,Crawford,2018-2019,179,46997.5,49276,262.56,275.28
5130,Sevastopol,D,7,15,Door,2018-2019,175,99075.5,104938,566.15,599.65
5138,Seymour Community,D,7,44,Outagamie,2018-2019,178,355687,374487,1998.24,2103.86
5258,Sharon J11,D,2,64,Walworth,2018-2019,173,43078,45353,249.01,262.16
5264,Shawano,D,8,58,Shawano,2018-2019,168,407177.5,430734,2423.68,2563.89
5271,Sheboygan Area,D,7,59,Sheboygan,2018-2019,175,1634132,1747381,9337.9,9985.03
5278,Sheboygan Falls,D,7,59,Sheboygan,2018-2019,175,282677.5,295349,1615.3,1687.71
5306,Shell Lake,D,11,65,Washburn,2018-2019,178,115194.5,120298,647.16,675.83
5348,Shiocton,D,6,44,Outagamie,2018-2019,174,116341.5,121702,668.63,699.44
5355,Shorewood,D,1,40,Milwaukee,2018-2019,173,330867,350549,1912.53,2026.29
5362,Shullsburg,D,3,33,Lafayette,2018-2019,168,59669,63004,355.17,375.02
5369,Silver Lake J1,D,2,30,Kenosha,2018-2019,173,79692.5,82796,460.65,478.59
5376,Siren,D,11,7,Burnett,2018-2019,169,71703,77594.5,424.28,459.14
5390,Slinger,D,6,66,Washington,2018-2019,174,562353,583410,3231.91,3352.93
5397,Solon Springs,D,12,16,Douglas,2018-2019,174,45013.5,47340,258.7,272.07
5432,Somerset,D,11,55,Saint Croix,2018-2019,171,237954.5,247178,1391.55,1445.49
5439,South Milwaukee,D,1,40,Milwaukee,2018-2019,173,484360,520203.5,2799.77,3006.96
5457,Southern Door County,D,7,15,Door,2018-2019,177,161279,168894.5,911.18,954.21
5460,Sparta Area,D,4,41,Monroe,2018-2019,168,475707.5,498824.5,2831.59,2969.19
5467,Spencer,D,10,37,Marathon,2018-2019,178,110321,114923,619.78,645.63
5474,Spooner Area,D,11,65,Washburn,2018-2019,170,183783,192524,1081.08,1132.49
5523,River Valley,D,3,56,Sauk,2018-2019,177,190178.5,202858,1074.45,1146.09
5586,Spring Valley,D,11,47,Pierce,2018-2019,169,123480,129110,730.65,763.96
5593,Stanley-Boyd Area,D,10,9,Chippewa,2018-2019,176,201063,207743,1142.4,1180.36
5607,Stevens Point Area Public,D,5,49,Portage,2018-2019,172,1117851.5,1187469,6499.14,6903.89
5614,Stockbridge,D,7,8,Calumet,2018-2019,174,33235.5,34718,191.01,199.53
5621,Stoughton Area,D,2,13,Dane,2018-2019,171,467900,491815.5,2736.26,2876.11
5628,Stratford,D,9,37,Marathon,2018-2019,175,139153,145089,795.16,829.08
5642,Sturgeon Bay,D,7,15,Door,2018-2019,174,185311.5,195177,1065.01,1121.71
5656,Sun Prairie Area,D,2,13,Dane,2018-2019,180,1320680.5,1414663,7337.11,7859.24
5663,Superior,D,12,16,Douglas,2018-2019,170,728477.5,764225.5,4285.16,4495.44
5670,Suring Public,D,8,42,Oconto,2018-2019,170,35100.5,37056,206.47,217.98
5726,Thorp,D,10,10,Clark,2018-2019,168,94216.5,98178,560.81,584.39
5733,Three Lakes,D,9,43,Oneida,2018-2019,168,83044.5,87870,494.31,523.04
5740,Tigerton,D,8,58,Shawano,2018-2019,166,39217.5,40953,236.25,246.7
5747,Tomah Area,D,4,41,Monroe,2018-2019,168,506675,511335,3015.92,3043.66
5754,Tomahawk,D,9,35,Lincoln,2018-2019,168,188831,195595,1123.99,1164.26
5757,Flambeau,D,10,54,Rusk,2018-2019,175,93897.5,99639,536.56,569.37
5780,Trevor-Wilmot Consolidated,D,2,30,Kenosha,2018-2019,175,96191,100757.5,549.66,575.76
5810,Turtle Lake,D,11,3,Barron,2018-2019,167,72438.5,75154,433.76,450.02
5817,Twin Lakes #4,D,2,30,Kenosha,2018-2019,169,49393.5,52661.5,292.27,311.61
5824,Two Rivers Public,D,7,36,Manitowoc,2018-2019,167,285816.5,303378,1711.48,1816.63
5852,Union Grove UHS,D,2,51,Racine,2018-2019,171,158377,165404,926.18,967.27
5859,Union Grove J1,D,2,51,Racine,2018-2019,168,78547.5,81969,467.54,487.91
5866,Valders Area,D,7,36,Manitowoc,2018-2019,173,156595.5,162852,905.18,941.34
5901,Verona Area,D,2,13,Dane,2018-2019,180,932739.5,982706,5181.89,5459.48
5960,Kickapoo Area,D,3,62,Vernon,2018-2019,174,80294,85067.5,461.46,488.89
5985,Viroqua Area,D,4,62,Vernon,2018-2019,170,184438.5,193985,1084.93,1141.09
5992,Wabeno Area,D,8,21,Forest,2018-2019,167,57893.5,62346,346.67,373.33
6013,Big Foot UHS,D,2,64,Walworth,2018-2019,172,78191,82871,454.6,481.81
6022,Walworth J1,D,2,64,Walworth,2018-2019,173,73975.5,77744,427.6,449.39
6027,Washburn,D,12,4,Bayfield,2018-2019,176,90225.5,96091,512.64,545.97
6069,Washington,D,7,15,Door,2018-2019,177,12108,12864,68.41,72.68
6083,Waterford UHS,D,2,51,Racine,2018-2019,175,184602,184602,1054.87,1054.87
6104,Washington-Caldwell,D,2,51,Racine,2018-2019,170,28990.5,30422,170.53,178.95
6113,Waterford Graded J1,D,2,51,Racine,2018-2019,171,250453,262008,1464.64,1532.21
6118,Waterloo,D,2,28,Jefferson,2018-2019,175,124899,131774,713.71,752.99
6125,Watertown Unified,D,2,28,Jefferson,2018-2019,170,560319,590279.5,3295.99,3472.23
6174,Waukesha,D,1,67,Waukesha,2018-2019,175,2038723,2145275.5,11649.85,12258.72
6181,Waunakee Community,D,2,13,Dane,2018-2019,174,706759.5,737949.5,4061.84,4241.09
6195,Waupaca,D,5,68,Waupaca,2018-2019,175,339339.5,360421,1939.08,2059.55
6216,Waupun,D,6,20,Fond du Lac,2018-2019,169,304588,321715,1802.3,1903.64
6223,Wausau,D,9,37,Marathon,2018-2019,171,1288868.5,1363381,7537.24,7972.99
6230,Wausaukee,D,8,38,Marinette,2018-2019,169,66508.5,69969,393.54,414.02
6237,Wautoma Area,D,5,69,Waushara,2018-2019,170,208140.5,219599.5,1224.36,1291.76
6244,Wauwatosa,D,1,40,Milwaukee,2018-2019,177,1171634,1236084,6619.4,6983.53
6251,Wauzeka-Steuben,D,3,12,Crawford,2018-2019,167,42994,44956,257.45,269.2
6293,Webster,D,11,7,Burnett,2018-2019,173,110202.5,118946.5,637.01,687.55
6300,West Allis-West Milwaukee,D,1,40,Milwaukee,2018-2019,170,1290515.5,1396678,7591.27,8215.75
6307,West Bend,D,6,66,Washington,2018-2019,177,1079251.5,1129129,6097.47,6379.26
6321,Westby Area,D,4,62,Vernon,2018-2019,170,177984.5,186473,1046.97,1096.9
6328,West De Pere,D,7,5,Brown,2018-2019,175,580978.5,604915,3319.88,3456.66
6335,Westfield,D,5,39,Marquette,2018-2019,167,162205.5,171138,971.29,1024.78
6354,Weston,D,3,56,Sauk,2018-2019,167,51520.5,53947,308.51,323.04
6370,West Salem,D,4,32,La Crosse,2018-2019,174,296618.5,309439,1704.7,1778.39
6384,Weyauwega-Fremont,D,6,68,Waupaca,2018-2019,180,134323.5,140927,746.24,782.93
6412,Wheatland J1,D,2,30,Kenosha,2018-2019,171,88459,93565,517.3,547.16
6419,Whitefish Bay,D,1,40,Milwaukee,2018-2019,175,505893.5,525935,2890.82,3005.34
6426,Whitehall,D,4,61,Trempealeau,2018-2019,180,120998.5,127567,672.21,708.71
6440,White Lake,D,8,34,Langlade,2018-2019,167,23444,24919,140.38,149.22
6461,Whitewater Unified,D,2,64,Walworth,2018-2019,171,314673,334098,1840.19,1953.79
6470,Whitnall,D,1,40,Milwaukee,2018-2019,177,404916.5,427007,2287.66,2412.47
6475,Wild Rose,D,5,69,Waushara,2018-2019,174,95677,100629,549.87,578.33
6482,Williams Bay,D,2,64,Walworth,2018-2019,167,113117,119386.5,677.35,714.89
6545,Wilmot UHS,D,2,30,Kenosha,2018-2019,173,174554.5,185583,1008.99,1072.73
6608,Winneconne Community,D,6,70,Winnebago,2018-2019,177,281314.5,293330,1589.35,1657.23
6615,Winter,D,12,57,Sawyer,2018-2019,171,40150.5,42954,234.8,251.19
6678,Wisconsin Dells,D,5,56,Sauk,2018-2019,171,277706,297883,1624.01,1742.01
6685,Wisconsin Rapids,D,5,71,Wood,2018-2019,170,809349.5,857381.5,4760.88,5043.42
6692,Wittenberg-Birnamwood,D,8,58,Shawano,2018-2019,178,198269.5,207976,1113.87,1168.4
6713,Wonewoc-Union Center,D,4,29,Juneau,2018-2019,172,52868.5,55094,307.38,320.31
6720,Woodruff J1,D,9,63,Vilas,2018-2019,169,91752,96392,542.91,570.37
6734,Wrightstown Community,D,7,5,Brown,2018-2019,177,237027.5,246690,1339.14,1393.73
6748,Yorkville J2,D,2,51,Racine,2018-2019,171,72055.5,74439,421.38,435.32
