Dist Code,District Name,Org Level,CESA,Cty Code,County Name,School Year,Days of Instruction,Actual Days of Attendance,Possible Days of Attendance,ADA,ADM
1085,Chilton,D,7,8,Calumet,2018-2019,172,173534,179894.5,1008.92,1045.9
1092,Chippewa Falls Area Unified,D,10,9,Chippewa,2018-2019,175,864463,907537,4939.79,5185.93
1120,Clayton,D,11,48,Polk,2018-2019,169,51225.5,53745,303.11,318.02
1127,Clear Lake,D,11,48,Polk,2018-2019,174,91272,95368,524.55,548.09
1134,Clinton Community,D,2,53,Rock,2018-2019,177,180980,192595,1022.49,1088.11
1141,Clintonville,D,8,68,Waupaca,2018-2019,170,204133.5,215734,1200.79,1269.02
1155,Cochrane-Fountain City,D,4,6,Buffalo,2018-2019,168,90502,94245,538.7,560.98
1162,Colby,D,10,10,Clark,2018-2019,178,148621.5,155177,834.95,871.78
1169,Coleman,D,8,38,Marinette,2018-2019,168,116085,120723,690.98,718.59
1176,Colfax,D,11,17,Dunn,2018-2019,168,127145.5,133314,756.82,793.54
1183,Columbus,D,5,11,Columbia,2018-2019,178,218125,231144,1225.42,1298.56
1204,Cornell,D,10,9,Chippewa,2018-2019,170,66626.5,67044,391.92,394.38
1218,Crandon,D,8,21,Forest,2018-2019,174,133859,145835,769.3,838.13
1232,Crivitz,D,8,38,Marinette,2018-2019,175,126873,132434,724.99,756.77
1246,Cuba City,D,3,22,Grant,2018-2019,173,112517,117321,650.39,678.16
1253,Cudahy,D,1,40,Milwaukee,2018-2019,174,387521,420128,2227.13,2414.53
1260,Cumberland,D,11,3,Barron,2018-2019,175,163106,170456,932.03,974.03
1295,Darlington Community,D,3,33,Lafayette,2018-2019,174,140008.5,144448,804.65,830.16
1309,Deerfield Community,D,2,13,Dane,2018-2019,174,122716,128904,705.26,740.83
1316,De Forest Area,D,2,13,Dane,2018-2019,172,613280.5,643512,3565.58,3741.35
1376,Kettle Moraine,D,1,67,Waukesha,2018-2019,173,619318.5,650184.5,3579.88,3758.29
1380,Delavan-Darien,D,2,64,Walworth,2018-2019,172,314436.5,336234,1828.12,1954.85
1407,Denmark,D,7,5,Brown,2018-2019,180,263862.5,272519,1465.9,1513.99
1414,De Pere,D,7,5,Brown,2018-2019,175,742534.5,773806,4243.05,4421.75
1421,De Soto Area,D,4,62,Vernon,2018-2019,168,78038.5,81133,464.51,482.93
1428,Dodgeville,D,3,25,Iowa,2018-2019,172,203794,212886,1184.85,1237.71
1449,Dover #1,D,2,51,Racine,2018-2019,168,15001,15666,89.29,93.25
1491,Drummond Area,D,12,4,Bayfield,2018-2019,172,54958,58462.5,319.52,339.9
1499,Durand-Arkansaw,D,11,46,Pepin,2018-2019,163,140497.5,147793.5,861.95,906.71
1526,Northland Pines,D,9,63,Vilas,2018-2019,170,201266,212216.5,1183.92,1248.33
1540,East Troy Community,D,2,64,Walworth,2018-2019,169,262992.5,275324,1556.17,1629.14
1554,Eau Claire Area,D,10,18,Eau Claire,2018-2019,166,1656810.5,1780924.5,9980.79,10728.46
1561,Edgar,D,9,37,Marathon,2018-2019,174,101249,103906,581.89,597.16
1568,Edgerton,D,2,53,Rock,2018-2019,172,294425,307224.5,1711.77,1786.19
1582,Elcho,D,9,34,Langlade,2018-2019,174,43999.5,46912,252.87,269.61
1600,Eleva-Strum,D,10,61,Trempealeau,2018-2019,169,105345.5,110958,623.35,656.56
1631,Elkhart Lake-Glenbeulah,D,7,59,Sheboygan,2018-2019,178,75360,78979,423.37,443.7
1638,Elkhorn Area,D,2,64,Walworth,2018-2019,168,566631,578588,3372.8,3443.98
1645,Elk Mound Area,D,11,17,Dunn,2018-2019,171,188475,197067,1102.19,1152.44
