OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
311,Stoughton Area,no data,no data,203,2,13,Dane,115,Badger - South,5621,491815.5,2736.26,2876.11,2963,5621,5514550,Unified,143013.3958,291861653.7
312,Stratford,no data,no data,50,9,37,Marathon,126,Marawood - South,5628,145089,795.16,829.08,884,5628,5514580,Unified,120661.9386,300093573.6
313,Sturgeon Bay,no data,no data,76,7,15,Door,33,Packerland,5642,195177,1065.01,1121.71,1145,5642,5514610,Unified,60259.24727,23056800.6
314,Sun Prairie Area,1,5,802,2,13,Dane,3,Big Eight,5656,1414663,7337.11,7859.24,8521,5656,5514640,Unified,93737.24755,207860786.3
315,Superior,4,no data,565,12,16,Douglas,29,No WI Affiliation,5663,764225.5,4285.16,4495.44,4622,5663,5514670,Unified,150679.1312,1049724283
316,Suring Public,no data,1,23,8,42,Oconto,25,Marinette-Oconto,5670,37056,206.47,217.98,378,5670,5514700,Unified,156372.0591,783368321.2
412,Swallow,no data,no data,4,1,67,Waukesha,8,Classic Eight,3510,79246,448.18,463.43,462,3510,5509240,Elementary,29450.65551,15448884.33
317,Thorp,no data,no data,12,10,10,Clark,121,Cloverbelt - West,5726,98178,560.81,584.39,602,5726,5514820,Unified,145412.0217,404352125.1
318,Three Lakes,no data,no data,32,9,43,Oneida,31,Northern Lakes,5733,87870,494.31,523.04,535,5733,5514850,Unified,180661.3423,786999011.9
319,Tigerton,no data,no data,1,8,58,Shawano,155,Central Wisconsin - 10,5740,40953,236.25,246.7,242,5740,5514880,Unified,99614.64038,251651609.7
320,Tomah Area,no data,no data,85,4,41,Monroe,28,Mississippi Valley,5747,511335,3015.92,3043.66,3121,5747,5514910,Unified,247672.4201,1206558549
321,Tomahawk,no data,no data,53,9,35,Lincoln,124,Great Northern,5754,195595,1123.99,1164.26,1224,5754,5514940,Unified,205343.711,1099322612
322,Tomorrow River,no data,no data,3,5,49,Portage,156,Central Wisconsin - 8,126,194491,1098.33,1150.83,1195,126,5500330,Unified,106679.1945,257670205.7
413,Trevor-Wilmot Consolidated,no data,1,31,2,30,Kenosha,41,Southern Lakes,5780,100757.5,549.66,575.76,564,5780,5500052,Elementary,30274.74723,27888488.19
323,Tri-County Area,no data,no data,21,5,69,Waushara,155,Central Wisconsin - 10,4375,105549,587.42,613.66,611,4375,5511820,Unified,168006.7565,568515328.1
324,Turtle Lake,no data,no data,10,11,3,Barron,260,Lakeland - Central,5810,75154,433.76,450.02,458,5810,5515060,Unified,142897.3477,292656265.3
414,Twin Lakes #4,no data,no data,1,2,30,Kenosha,41,Southern Lakes,5817,52661.5,292.27,311.61,316,5817,5515090,Elementary,21575.5336,11014329.76
325,Two Rivers Public,1,1,38,7,36,Manitowoc,14,Eastern Wisconsin,5824,303378,1711.48,1816.63,1821,5824,5515120,Unified,48359.60853,74952514.58
415,Union Grove J1,no data,no data,3,2,51,Racine,41,Southern Lakes,5859,81969,467.54,487.91,809,5859,5515180,Elementary,26239.1225,28089143.96
376,Union Grove UHS,no data,no data,31,2,51,Racine,41,Southern Lakes,5852,165404,926.18,967.27,986,5852,5515150,Secondary,72554.24031,216499960
326,Unity,no data,no data,88,11,48,Polk,262,Lakeland - West,238,156076,865.69,923.53,937,238,5500750,Unified,145737.841,380821516.3
327,Valders Area,no data,no data,13,7,36,Manitowoc,14,Eastern Wisconsin,5866,162852,905.18,941.34,980,5866,5515210,Unified,115993.4666,306052584.9
328,Verona Area,no data,no data,306,2,13,Dane,3,Big Eight,5901,982706,5181.89,5459.48,5656,5901,5515330,Unified,111865.4953,139445513.5
329,Viroqua Area,no data,no data,60,4,62,Vernon,10,Coulee,5985,193985,1084.93,1141.09,1165,5985,5515360,Unified,203665.9515,487944797.6
330,Wabeno Area,no data,no data,58,8,21,Forest,31,Northern Lakes,5992,62346,346.67,373.33,382,5992,5515390,Unified,169963.204,907165638.5
416,Walworth J1,no data,no data,8,2,64,Walworth,36,Rock Valley,6022,77744,427.6,449.39,458,6022,5515450,Elementary,56018.55293,70931839.3
331,Washburn,no data,no data,3,12,4,Bayfield,20,Indianhead,6027,96091,512.64,545.97,572,6027,5515540,Unified,115843.2121,481369071.4
332,Washington,no data,no data,1,7,15,Door,29,No WI Affiliation,6069,12864,68.41,72.68,80,6069,5515570,Unified,87913.60606,65779237.32
421,Washington-Caldwell,no data,no data,no data,2,51,Racine,41,Southern Lakes,6104,30422,170.53,178.95,180,6104,5515700,Elementary,41118.02932,24445191.96
417,Waterford Graded J1,no data,1,15,2,51,Racine,41,Southern Lakes,6113,262008,1464.64,1532.21,1526,6113,5515660,Elementary,112970.2789,124765644.4
377,Waterford UHS,1,no data,40,2,51,Racine,41,Southern Lakes,6083,184602,1054.87,1054.87,1058,6083,5515600,Secondary,93779.60781,224606086.4
333,Waterloo,no data,no data,14,2,28,Jefferson,117,Capitol - South,6118,131774,713.71,752.99,790,6118,5515720,Unified,104394.0793,216912198.7
334,Watertown Unified,no data,4,441,2,28,Jefferson,45,Wisconsin Little Ten,6125,590279.5,3295.99,3472.23,3621,6125,5515750,Unified,239653.4478,425336878.9
335,Waukesha,2,14,940,1,67,Waukesha,8,Classic Eight,6174,2145275.5,11649.85,12258.72,12739,6174,5515780,Unified,78469.67852,182714568.4
336,Waunakee Community,no data,2,34,2,13,Dane,114,Badger - North,6181,737949.5,4061.84,4241.09,4339,6181,5515810,Unified,102601.3017,147157727.7
337,Waupaca,no data,no data,116,5,68,Waupaca,301,North Eastern,6195,360421,1939.08,2059.55,2113,6195,5515840,Unified,123137.3531,411213729.2
338,Waupun,no data,1,57,6,20,Fond du Lac,52,East Central,6216,321715,1802.3,1903.64,1947,6216,5515870,Unified,181762.1148,457595729.4
339,Wausau,no data,no data,353,9,37,Marathon,46,Wisconsin Valley,6223,1363381,7537.24,7972.99,8311,6223,5515900,Unified,152148.0884,669590112.7
340,Wausaukee,no data,no data,18,8,38,Marinette,25,Marinette-Oconto,6230,69969,393.54,414.02,418,6230,5515930,Unified,217120.0731,1090301033
341,Wautoma Area,1,6,103,5,69,Waushara,39,South Central,6237,219599.5,1224.36,1291.76,1355,6237,5515960,Unified,144700.2848,454643238.1
342,Wauwatosa,no data,no data,311,1,40,Milwaukee,47,Woodland,6244,1236084,6619.4,6983.53,7219,6244,5515990,Unified,46300.65556,34243769.2
343,Wauzeka-Steuben,no data,no data,3,3,12,Crawford,35,Ridge & Valley,6251,44956,257.45,269.2,282,6251,5516020,Unified,150544.3111,245510987.8
344,Webster,5,no data,50,11,7,Burnett,262,Lakeland - West,6293,118946.5,637.01,687.55,672,6293,5516230,Unified,206499.3949,1263936564
345,West Allis-West Milwaukee,no data,4,590,1,40,Milwaukee,17,Greater Metro,6300,1396678,7591.27,8215.75,8240,6300,5516260,Unified,40947.79476,35704712.08
346,West Bend,no data,no data,249,6,66,Washington,45,Wisconsin Little Ten,6307,1129129,6097.47,6379.26,6582,6307,5516290,Unified,86335.71961,260067885
347,West De Pere,no data,1,173,7,5,Brown,2,Bay,6328,604915,3319.88,3456.66,3556,6328,5516320,Unified,68804.90747,121192504.2
348,West Salem,no data,no data,31,4,32,La Crosse,10,Coulee,6370,309439,1704.7,1778.39,1797,6370,5516350,Unified,121623.258,245033973.9
349,Westby Area,no data,no data,43,4,62,Vernon,10,Coulee,6321,186473,1046.97,1096.9,1102,6321,5516410,Unified,260289.9327,441012224.1
350,Westfield,no data,no data,46,5,39,Marquette,39,South Central,6335,171138,971.29,1024.78,1061,6335,5516440,Unified,252062.4398,742988242.4
368,Weston,no data,2,18,3,56,Sauk,35,Ridge & Valley,6354,53947,308.51,323.04,278,6354,5516470,Unified,159672.7547,255856059.4
352,Weyauwega-Fremont,no data,no data,12,6,68,Waupaca,156,Central Wisconsin - 8,6384,140927,746.24,782.93,857,6384,5516500,Unified,157119.3134,390646340.5
418,Wheatland J1,no data,no data,12,2,30,Kenosha,41,Southern Lakes,6412,93565,517.3,547.16,542,6412,5516560,Elementary,51067.18197,81693495.96
353,White Lake,no data,no data,38,8,34,Langlade,31,Northern Lakes,6440,24919,140.38,149.22,145,6440,5516590,Unified,116890.1212,491944819
354,Whitefish Bay,no data,no data,53,1,40,Milwaukee,30,North Shore,6419,525935,2890.82,3005.34,2992,6419,5516620,Unified,12644.72496,5452143.063
355,Whitehall,no data,1,33,4,61,Trempealeau,11,Dairyland,6426,127567,672.21,708.71,768,6426,5516650,Unified,188027.6132,361579841
356,Whitewater Unified,no data,1,277,2,64,Walworth,36,Rock Valley,6461,334098,1840.19,1953.79,1940,6461,5516680,Unified,123640.5914,354056769.8
357,Whitnall,no data,no data,190,1,40,Milwaukee,47,Woodland,6470,427007,2287.66,2412.47,2506,6470,5506000,Unified,29768.29079,21071561.66
358,Wild Rose,no data,no data,12,5,69,Waushara,155,Central Wisconsin - 10,6475,100629,549.87,578.33,580,6475,5516710,Unified,165072.201,372895380.7
359,Williams Bay,no data,no data,no data,2,64,Walworth,43,Trailways,6482,119386.5,677.35,714.89,721,6482,5516740,Unified,35683.88957,26605643.48
378,Wilmot UHS,no data,no data,89,2,30,Kenosha,41,Southern Lakes,6545,185583,1008.99,1072.73,1026,6545,5516770,Secondary,52935.79733,125197403
360,Winneconne Community,no data,no data,22,6,70,Winnebago,52,East Central,6608,293330,1589.35,1657.23,1682,6608,5516830,Unified,137215.261,335294033.5
361,Winter,no data,no data,18,12,57,Sawyer,261,Lakeland - East,6615,42954,234.8,251.19,249,6615,5516860,Unified,199075.6408,1712525993
362,Wisconsin Dells,no data,no data,63,5,56,Sauk,39,South Central,6678,297883,1624.01,1742.01,1787,6678,5517040,Unified,169112.0451,483266438.5
363,Wisconsin Heights,no data,no data,9,2,13,Dane,117,Capitol - South,469,131738,743.3,779.51,776,469,5501230,Unified,158251.5846,270127578
364,Wisconsin Rapids,1,4,487,5,71,Wood,46,Wisconsin Valley,6685,857381.5,4760.88,5043.42,5114,6685,5517070,Unified,156709.903,612240151.8
365,Wittenberg-Birnamwood,no data,no data,42,8,58,Shawano,156,Central Wisconsin - 8,6692,207976,1113.87,1168.4,1178,6692,5517100,Unified,136854.5303,651710214.2
366,Wonewoc-Union Center,no data,no data,6,4,29,Juneau,37,Scenic Bluffs,6713,55094,307.38,320.31,345,6713,5517130,Unified,208227.0339,242521817.4
419,Woodruff J1,no data,no data,15,9,63,Vilas,124,Great Northern,6720,96392,542.91,570.37,545,6720,5517160,Elementary,91739.37003,278309849.2
367,Wrightstown Community,no data,no data,15,7,5,Brown,301,North Eastern,6734,246690,1339.14,1393.73,1367,6734,5517190,Unified,109811.9917,207363931.9
420,Yorkville J2,no data,no data,no data,2,51,Racine,41,Southern Lakes,6748,74439,421.38,435.32,438,6748,5517220,Elementary,45368.94587,73926811.83
