OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
52,Campbellsport,no data,3,40,6,20,Fond du Lac,52,East Central,910,218410.5,1198.79,1248.06,1335,910,5502160,Unified,162584.9625,463688733
53,Cashton,no data,no data,8,4,41,Monroe,37,Scenic Bluffs,980,97826,564.11,585.78,610,980,5502340,Unified,206321.9221,303405144.7
54,Cassville,no data,no data,no data,3,22,Grant,38,Six Rivers,994,17709,93.83,98.93,195,994,5502400,Unified,199674.1123,234054683.5
55,Cedar Grove-Belgium Area,no data,no data,4,7,59,Sheboygan,300,Big East,1029,162589,897.78,934.42,986,1029,5502430,Unified,72271.8708,98225642.23
56,Cedarburg,no data,no data,38,1,45,Ozaukee,30,North Shore,1015,544953,3011.03,3168.33,3122,1015,5502460,Unified,51380.06946,90305059.04
371,Central/Westosha UHS,no data,no data,137,2,30,Kenosha,41,Southern Lakes,5054,190454,1032.16,1094.56,1126,5054,5513290,Secondary,109266.3951,363038991.7
57,Chequamegon,no data,1,53,12,50,Price,125,Marawood - North,1071,129207,730.05,764.54,768,1071,5500058,Unified,305755.1497,1909418668
58,Chetek-Weyerhaeuser Area,no data,2,32,11,3,Barron,18,Heart O'North,1080,158069,852.81,898.12,989,1080,5500061,Unified,225614.9637,659847253.9
59,Chilton,no data,no data,26,7,8,Calumet,14,Eastern Wisconsin,1085,179894.5,1008.92,1045.9,1114,1085,5502520,Unified,164254.5599,267457620.6
60,Chippewa Falls Area Unified,3,2,378,10,9,Chippewa,4,Big Rivers,1092,907537,4939.79,5185.93,5052,1092,5502550,Unified,167176.8268,584110227.4
61,Clayton,no data,no data,6,11,48,Polk,260,Lakeland - Central,1120,53745,303.11,318.02,344,1120,5502580,Unified,97791.82788,149208823.3
62,Clear Lake,no data,no data,8,11,48,Polk,260,Lakeland - Central,1127,95368,524.55,548.09,597,1127,5502610,Unified,124170.7183,279044264
63,Clinton Community,no data,3,31,2,53,Rock,36,Rock Valley,1134,192595,1022.49,1088.11,1140,1134,5502640,Unified,113130.7156,288910054.8
64,Clintonville,no data,1,118,8,68,Waupaca,301,North Eastern,1141,215734,1200.79,1269.02,1253,1141,5502670,Unified,147890.4992,425088890.5
65,Cochrane-Fountain City,no data,no data,13,4,6,Buffalo,11,Dairyland,1155,94245,538.7,560.98,620,1155,5502700,Unified,230362.548,415801278.6
66,Colby,no data,no data,20,10,10,Clark,120,Cloverbelt - East,1162,155177,834.95,871.78,912,1162,5502730,Unified,162984.9125,423214897.3
67,Coleman,no data,no data,7,8,38,Marinette,25,Marinette-Oconto,1169,120723,690.98,718.59,729,1169,5502760,Unified,155319.5048,496427564.6
68,Colfax,no data,no data,46,11,17,Dunn,122,Dunn-St. Croix - Large,1176,133314,756.82,793.54,800,1176,5502790,Unified,188137.4611,475275545
69,Columbus,no data,no data,66,5,11,Columbia,116,Capitol - North,1183,231144,1225.42,1298.56,1307,1183,5502820,Unified,158893.2832,343919195.8
70,Cornell,no data,no data,27,10,9,Chippewa,261,Lakeland - East,1204,67044,391.92,394.38,406,1204,5502880,Unified,99518.00925,261592706.8
71,Crandon,no data,no data,145,8,21,Forest,31,Northern Lakes,1218,145835,769.3,838.13,857,1218,5502910,Unified,240796.7268,1371485280
72,Crivitz,no data,no data,25,8,38,Marinette,25,Marinette-Oconto,1232,132434,724.99,756.77,791,1232,5502970,Unified,158843.1183,738866971.3
73,Cuba City,no data,no data,9,3,22,Grant,131,Southwest Wisconsin Activities League,1246,117321,650.39,678.16,679,1246,5503030,Unified,202581.807,203495757.2
74,Cudahy,no data,2,259,1,40,Milwaukee,47,Woodland,1253,420128,2227.13,2414.53,2326,1253,5503060,Unified,14739.88931,12374637.84
75,Cumberland,3,no data,7,11,3,Barron,18,Heart O'North,1260,170456,932.03,974.03,998,1260,5503090,Unified,142533.9719,483095313.8
76,D C Everest Area,1,no data,375,9,37,Marathon,46,Wisconsin Valley,4970,978773.5,5512.11,5791.56,6004,4970,5513170,Unified,111739.3812,418585999.4
77,Darlington Community,no data,no data,1,3,33,Lafayette,131,Southwest Wisconsin Activities League,1295,144448,804.65,830.16,839,1295,5503150,Unified,239149.7513,413850066.1
78,De Forest Area,no data,no data,151,2,13,Dane,114,Badger - North,1316,643512,3565.58,3741.35,3828,1316,5503180,Unified,114636.9103,231541878.1
79,De Pere,1,no data,162,7,5,Brown,54,Fox River Classic,1414,773806,4243.05,4421.75,4518,1414,5503210,Unified,96823.86075,164374340.6
80,De Soto Area,no data,no data,17,4,62,Vernon,35,Ridge & Valley,1421,81133,464.51,482.93,496,1421,5503240,Unified,176385.8372,397317691.3
81,Deerfield Community,1,2,20,2,13,Dane,43,Trailways,1309,128904,705.26,740.83,757,1309,5503270,Unified,112835.6579,106867744.1
