SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,BEHAVIOR_TYPE,TFS_ENROLLMENT_COUNT,INCIDENTS_COUNT
2018-19,School District,3,Grant,609,,[All],No,Boscobel Area,[Districtwide],All Students,All Students,Weapon Related,796,1
2018-19,School District,8,Shawano,623,,[All],No,Bowler,[Districtwide],All Students,All Students,Endangering Behavior,331,10
2018-19,School District,8,Shawano,623,,[All],No,Bowler,[Districtwide],All Students,All Students,Other Violation of School Rules,331,1
2018-19,School District,11,Dunn,637,,[All],No,Boyceville Community,[Districtwide],All Students,All Students,Endangering Behavior,712,1
2018-19,School District,11,Dunn,637,,[All],No,Boyceville Community,[Districtwide],All Students,All Students,Other Violation of School Rules,712,2
2018-19,School District,2,Kenosha,657,,[All],No,Brighton #1,[Districtwide],All Students,All Students,Other Violation of School Rules,226,16
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,Drugs and Alcohol,978,1
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,Endangering Behavior,978,2
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,Other Violation of School Rules,978,1
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,Weapon Related,978,1
2018-19,School District,2,Kenosha,665,,[All],No,Bristol #1,[Districtwide],All Students,All Students,Weapon Related,851,1
2018-19,School District,2,Green,700,,[All],No,Brodhead,[Districtwide],All Students,All Students,Drugs and Alcohol,1018,5
2018-19,School District,2,Green,700,,[All],No,Brodhead,[Districtwide],All Students,All Students,Other Violation of School Rules,1018,18
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,Assault,1521,2
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,Drugs and Alcohol,1521,7
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,Endangering Behavior,1521,179
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,Other Violation of School Rules,1521,52
2018-19,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],All Students,All Students,Drugs and Alcohol,441,1
2018-19,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],All Students,All Students,Endangering Behavior,441,7
2018-19,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],All Students,All Students,Other Violation of School Rules,441,11
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Assault,3145,23
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Drugs and Alcohol,3145,33
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Endangering Behavior,3145,4
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Other Violation of School Rules,3145,18
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Weapon Related,3145,1
2018-19,School District,12,Ashland,840,,[All],No,Butternut,[Districtwide],All Students,All Students,Other Violation of School Rules,206,6
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,Assault,830,27
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,Drugs and Alcohol,830,4
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,Endangering Behavior,830,17
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,Other Violation of School Rules,830,62
2018-19,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],All Students,All Students,Assault,371,2
2018-19,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],All Students,All Students,Drugs and Alcohol,371,2
2018-19,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],All Students,All Students,Endangering Behavior,371,2
2018-19,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],All Students,All Students,Other Violation of School Rules,371,7
2018-19,School District,2,Dane,896,,[All],No,Cambridge,[Districtwide],All Students,All Students,Drugs and Alcohol,908,1
2018-19,School District,2,Dane,896,,[All],No,Cambridge,[Districtwide],All Students,All Students,Other Violation of School Rules,908,12
2018-19,School District,11,Barron,903,,[All],No,Cameron,[Districtwide],All Students,All Students,Assault,1149,1
2018-19,School District,11,Barron,903,,[All],No,Cameron,[Districtwide],All Students,All Students,Endangering Behavior,1149,3
2018-19,School District,11,Barron,903,,[All],No,Cameron,[Districtwide],All Students,All Students,Other Violation of School Rules,1149,4
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,Assault,1335,4
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,Drugs and Alcohol,1335,6
