SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT,PERCENT_OF_GROUP
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,233,100
2018-19,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],All Students,All Students,887,100
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,384,100
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,6474,100
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,1566,100
2018-19,School District,3,Lafayette,427,,[All],No,Benton,[Districtwide],All Students,All Students,200,100
2018-19,School District,6,Green Lake,434,,[All],No,Berlin Area,[Districtwide],All Students,All Students,1644,100
2018-19,School District,2,Walworth,6013,,[All],No,Big Foot UHS,[Districtwide],All Students,All Students,489,100
2018-19,School District,11,Washburn,441,,[All],No,Birchwood,[Districtwide],All Students,All Students,292,100
2018-19,School District,3,Lafayette,2240,,[All],No,Black Hawk,[Districtwide],All Students,All Students,383,100
2018-19,School District,4,Jackson,476,,[All],No,Black River Falls,[Districtwide],All Students,All Students,1742,100
2018-19,School District,4,Trempealeau,485,,[All],No,Blair-Taylor,[Districtwide],All Students,All Students,614,100
2018-19,School District,10,Chippewa,497,,[All],No,Bloomer,[Districtwide],All Students,All Students,1279,100
2018-19,School District,8,Shawano,602,,[All],No,Bonduel,[Districtwide],All Students,All Students,737,100
2018-19,School District,3,Grant,609,,[All],No,Boscobel Area,[Districtwide],All Students,All Students,796,100
2018-19,School District,8,Shawano,623,,[All],No,Bowler,[Districtwide],All Students,All Students,331,100
2018-19,School District,11,Dunn,637,,[All],No,Boyceville Community,[Districtwide],All Students,All Students,712,100
2018-19,School District,2,Kenosha,657,,[All],No,Brighton #1,[Districtwide],All Students,All Students,226,100
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,978,100
2018-19,School District,2,Kenosha,665,,[All],No,Bristol #1,[Districtwide],All Students,All Students,851,100
2018-19,School District,2,Green,700,,[All],No,Brodhead,[Districtwide],All Students,All Students,1018,100
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,1521,100
2018-19,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],All Students,All Students,441,100
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,3145,100
2018-19,School District,12,Ashland,840,,[All],No,Butternut,[Districtwide],All Students,All Students,206,100
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,830,100
2018-19,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],All Students,All Students,371,100
2018-19,School District,2,Dane,896,,[All],No,Cambridge,[Districtwide],All Students,All Students,908,100
2018-19,School District,11,Barron,903,,[All],No,Cameron,[Districtwide],All Students,All Students,1149,100
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,1335,100
2018-19,School District,4,Monroe,980,,[All],No,Cashton,[Districtwide],All Students,All Students,610,100
2018-19,School District,3,Grant,994,,[All],No,Cassville,[Districtwide],All Students,All Students,195,100
2018-19,School District,7,Sheboygan,1029,,[All],No,Cedar Grove-Belgium Area,[Districtwide],All Students,All Students,986,100
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,3122,100
2018-19,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],All Students,All Students,1126,100
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,768,100
2018-19,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],All Students,All Students,989,100
2018-19,School District,7,Calumet,1085,,[All],No,Chilton,[Districtwide],All Students,All Students,1114,100
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,5052,100
2018-19,School District,11,Polk,1120,,[All],No,Clayton,[Districtwide],All Students,All Students,344,100
2018-19,School District,11,Polk,1127,,[All],No,Clear Lake,[Districtwide],All Students,All Students,597,100
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,1140,100
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,1253,100
2018-19,School District,4,Buffalo,1155,,[All],No,Cochrane-Fountain City,[Districtwide],All Students,All Students,620,100
2018-19,School District,10,Clark,1162,,[All],No,Colby,[Districtwide],All Students,All Students,912,100
2018-19,School District,8,Marinette,1169,,[All],No,Coleman,[Districtwide],All Students,All Students,729,100
2018-19,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],All Students,All Students,800,100
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,1307,100
2018-19,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],All Students,All Students,406,100
2018-19,School District,8,Forest,1218,,[All],No,Crandon,[Districtwide],All Students,All Students,857,100
2018-19,School District,8,Marinette,1232,,[All],No,Crivitz,[Districtwide],All Students,All Students,791,100
2018-19,School District,3,Grant,1246,,[All],No,Cuba City,[Districtwide],All Students,All Students,679,100
2018-19,School District,1,Milwaukee,1253,,[All],No,Cudahy,[Districtwide],All Students,All Students,2326,100
2018-19,School District,11,Barron,1260,,[All],No,Cumberland,[Districtwide],All Students,All Students,998,100
2018-19,School District,9,Marathon,4970,,[All],No,D C Everest Area,[Districtwide],All Students,All Students,6004,100
2018-19,School District,3,Lafayette,1295,,[All],No,Darlington Community,[Districtwide],All Students,All Students,839,100
2018-19,School District,2,Dane,1316,,[All],No,De Forest Area,[Districtwide],All Students,All Students,3828,100
2018-19,School District,7,Brown,1414,,[All],No,De Pere,[Districtwide],All Students,All Students,4518,100
2018-19,School District,4,Vernon,1421,,[All],No,De Soto Area,[Districtwide],All Students,All Students,496,100
2018-19,School District,2,Dane,1309,,[All],No,Deerfield Community,[Districtwide],All Students,All Students,757,100
2018-19,School District,2,Walworth,1380,,[All],No,Delavan-Darien,[Districtwide],All Students,All Students,2020,100
2018-19,School District,7,Brown,1407,,[All],No,Denmark,[Districtwide],All Students,All Students,1560,100
2018-19,School District,6,Dodge,2744,,[All],No,Dodgeland,[Districtwide],All Students,All Students,787,100
2018-19,School District,3,Iowa,1428,,[All],No,Dodgeville,[Districtwide],All Students,All Students,1227,100
2018-19,School District,2,Racine,1449,,[All],No,Dover #1,[Districtwide],All Students,All Students,92,100
2018-19,School District,12,Bayfield,1491,,[All],No,Drummond Area,[Districtwide],All Students,All Students,353,100
2018-19,School District,11,Pepin,1499,,[All],No,Durand-Arkansaw,[Districtwide],All Students,All Students,959,100
2018-19,School District,2,Walworth,1540,,[All],No,East Troy Community,[Districtwide],All Students,All Students,1646,100
2018-19,School District,10,Eau Claire,1554,,[All],No,Eau Claire Area,[Districtwide],All Students,All Students,11355,100
2018-19,School District,9,Marathon,1561,,[All],No,Edgar,[Districtwide],All Students,All Students,597,100
2018-19,School District,2,Rock,1568,,[All],No,Edgerton,[Districtwide],All Students,All Students,1879,100
2018-19,School District,9,Langlade,1582,,[All],No,Elcho,[Districtwide],All Students,All Students,273,100
